keyword,aspect,sentimen
Check in cepat dan ramah,service,positive
Area parkir sangat sempit,facility,negative
Lokasi hotel strategis,location,positive
enak dan bersih,meal,positive
kemahalan,value,negative
dekat tempat kuliner,surrounding,positive
Lokasi cukup strategis,location,positive
Cukup Nyaman,room,positive
Cukup Nyaman,facility,positive
ac kurang dingin,room,negative
gak ada yang spesial,value,negative
check in cukup cepat,service,positive
receptionist yang ramah,staff,positive
mushola yang disediakan kurang luas,facility,negative
flush toilet / wc tidak nyala,room,negative
koneksi internetnya yang stabil,facility,positive
Harganya juga terjangkau,value,positive
kolam luas,facility,positive
hotel murah,value,positive
seperti di rumah sendiri,quality,positive
bantalnya tidak nyaman,room,negative
dekat dengan Ambarrukmo Plaza,surrounding,positive
tidak menyambut saya dengan ramah,staff,negative
pelayanan staffnya sangat ramah,staff,positive
"TV kabel, Wifi Gratis, AC, kamar mandi dengan shower air panas dingin, kloset duduk dan wastafel dengan kondisi yang bersih",room,positive
sangat suka pelayananan staffnya yang sangat ramah,staff,positive
Hotel ini berada di lokasi yang cukup strategis,location,positive
lokasi yang dekat dengan pusat makanan dan mini market,surrounding,positive
kamar cukup luas dengan ac lumayan dingin kasur bagus,room,positive
"kamar mandi yang perlu mendapat perhatian perbaikan closet, wastafel yang bocor, air panas antara hidup dan mati",facility,negative
rasa makanan yang sangat kurang,meal,negative
Ac rusak dan perlu waktu cukup lama memperbaikinya,facility,negative
Sarapan ada yang basi dan kebanyakan tidak segar,meal,negative
Check-in mudah dan cepat,service,positive
speednya yg sangat pelan,facility,negative
mudah dijangkau,location,positive
terkoneksi dengan mall jogja city,surrounding,positive
tidak bersih,room,negative
sangat bervariasi dan relatif enak,meal,positive
pengap & bau,room,negative
ga enak rasa tepung,meal,negative
merekomendasi kan hotel ini,value,positive
kurang cocok dengan breakfastnya,meal,neutral
"Kamar lumayan luas, tapi terkesan standar aja",room,neutral
hotel bintang 4 rata-rata,value,neutral
"kurang ""cheer up"" , fresh and clean ya",quality,negative
sarapanya saya pikir kurang variatif,meal,neutral
check in lumayan cepet,service,positive
ruanganya panas sekali,room,negative
idak akan Me recomend,value,negative
petugas front door nya hanya terdiam malah ngobrol dengan orang lain,staff,negative
check in petugas cukup cepat melayani,service,positive
seprei hampir kuning dan sarung bantal yang sudah kuning,room,negative
Harganya juga cukup terjangkau,value,positive
Sarapan standard taste nya,meal,neutral
kasur yang tidak rata,room,negative
tidak begitu jauh dari airport,location,positive
Pelayanan kamarpun kurang memuaskan,room,negative
Yang bagus dari hotel ini adalah view nya,quality,positive
cukup bersaing untuk sekelas hotel berbintang 4,value,positive
Lokasi cukup strategis,location,positive
Tempat tidurnya nyaman,room,positive
Pilihan breakfast juga terbatas,meal,neutral
harga yg sangat memuaskan,value,positive
hotel layak diberi label bintang 2 **,value,negative
tidak layak,value,negative
breakfast lumayan,meal,positive
harga friendly,value,positive
value tidak sebanding,value,negative
Mendapatkan dinner,meal,neutral
service yang lumayan,service,neutral
dekat kampus upn jogja,surrounding,positive
Ruangan cukup sempit tapi cukup buat istirahat,room,neutral
hotel budget memuaskan,value,positive
Dekat juga dengan mall amplaz,surrounding,positive
Lokasinya strategis,location,positive
terlihat kotor,quality,negative
Staff tidak bersahabat dan malas,staff,negative
harga yang murah,value,positive
sarapan yang walaupun sederhana,meal,neutral
bagus dikelilingi oleh sawah,quality,positive
staff sangat friendly dan membantu,staff,positive
harga yg sangat ramah,value,positive
lengkap namun tidak terawat,facility,neutral
harga yg menurut saya murah banget karena ada promo hotel,value,positive
stafnya ramah,staff,positive
kolam renangnya menyenangkan,facility,positive
Makanan restonya seperti kurang bahan,meal,negative
"sarung bantal dan sprei sobek, ada beberapa noda, handuk jg ada noda kuning, sebaiknya dijahit atau diganti lbh baik",facility,negative
Lokasi cukup ramai ,location,positive
Lokasi nya ramai,location,positive
disekitar hotel banyak pilihan tempat makan,surrounding,positive
"sarapannya tidak begitu menarik, menunya tidak variatif sangat sederhana",meal,negative
Hotel ini berada di pusat keramaian,location,positive
Sangat berisik bila di hotel ada acara,surrounding,negative
Lampu lampu di kamar remang2 kurang terang,facility,negative
kamar hotel sangat kotor,room,negative
bau wc keluar ke kamar,facility,negative
tidur serasa di pinggir jalan suara mobil dan motor tiap 1 menit sekali sangat mengecewakan,surrounding,negative
card room sering masalah,facility,negative
parkir mobilnya nyaman,facility,positive
Security juga tidak ramah,staff,negative
Pelayanan receiptionis ramah,staff,positive
Kebersihan kamar masih kurang,room,negative
Lokasi hotel ini sangat strategis ke Malioboro tinggal jalan kaki atau naik becak,location,positive
Tempatnya dekat Malioboro,surrounding,positive
Resepsionis juga agak lama mengangkat telepon,staff,negative
menu sarapan tiap hari bervariasi,meal,positive
Pegawainya ramah,staff,positive
Hotel ini terletak di malioboro yogya,surrounding,positive
Hotel yg dekat malioboro,surrounding,positive
hidangan yg murah dan enak,meal,positive
"kamar mandi terlalu sempit
",facility,negative
Harga Terlalu Mahal,value,negative
"Letaknya yg cukup strategis, lokasinya pun dekat dengan beberapa universitas top di jogja seperti ugm, uny dan sanata dharma",surrounding,positive
Staff nya ramah sekali,staff,positive
AC-nya rusak,room,negative
resepsionis dengan nada agak tinggi,staff,negative
harga yang dibayarkan sama sekali tidak sesuai dengan fasilitas yang didapat,value,negative
kecewa menu sahur yang tidak lengkap,meal,negative
kamar cukup luas dan cukup nyaman,room,positive
rasa biasa saja,meal,neutral
ruangan sangat kotor,quality,negative
halaman parkir sempit,facility,negative
luas kamar ok,room,positive
Lokasinya sedikit tersembunyi di dalam gang,location,negative
Hotelnya cukup bersih dan nyaman,quality,positive
tarif hotel sudah cukup memuaskan,value,positive
tidak jauh dari halte trans Yogya,location,positive
Terdapat pusat kebugaran,facility,positive
kamarnya nyaman dan enak,room,positive
menemukan lalat,meal,negative
parking space di hotel ini kecil,facility,negative
kebersihannya masih SANGAT KURANG,quality,negative
lokasinya strategis,location,positive
Sarapan pagi enak ,meal,positive
staf cukup ramah,staff,positive
disekitaran hotel kt bakal temuin bnyk tempat makan,surrounding,positive
murah jg cocok buat yg liburan minim budget,value,positive
pelayanan lambat,service,negative
makanan standard,meal,neutral
dekat dengan Jogja City Mall dan dekat dengan ring road utara,surrounding,positive
minim fasilitas,room,neutral
security bekerja dengan cekatan,staff,positive
tidak layak untuk dikatakan hotel berbintang 4,value,negative
kamar mandi yg kotor,room,negative
Kolam renang yg kotor,facility,negative
"Kamar oke banget, luas, tv kabel, bathup, kulkas tanpa minibar, coffemaker, balkon",room,positive
hotel budget,value,positive
"Karyawan kurang senyum, Satpam cuek, sombong,tidak ramah",staff,negative
Kolam renang oke,facility,positive
Proses check in Mengecewakan,service,negative
di kamar kami banyak sekali semut,room,negative
lokasi hotel ini tidak terlalu jauh dengan bandara,location,positive
pegawainya ramah-ramah,staff,positive
kurang nyaman untuk tidur,room,negative
dekat bandara,location,positive
kamar lumayan lega,room,positive
kasur lembap dan banyak properti yg rusak,room,negative
"no bedcover, no selimut, tidak ada sandal hotel, tidak ada kopi,",facility,negative
 kurang puas dengan layanan hotel ini.,service,negative
"Dinding agak tipis, bisa mendengar aktivitas penghuni sebelah",room,negative
"Tempat parkir super terbatas. Buat saya, anggap saja tidak ada tempat parkir",facility,negative
"Overall bagus di tepi sawah dan ada sepeda untuk jalan2,",surrounding,positive
"Colokan listrik di kamar hotel hanya satu dekat TV di meja, sehingga mau ngecas HP, atau buka laptop semua hrs di meja, membuat saya kurang rilexs",quality,negative
tercium aroma bau pesing dari WC ,room,negative
Petugas saat check in kurang begitu ramah menyambut,staff,negative
pelayanan di receptionist sangat tidak memuaskan/tidak ramah,staff,negative
Lokasi mmg enak krn bersebelahan dg mall,surrounding,positive
Cek in lama,service,negative
"hotel ini cukup strategis untuk anda yang ingin mejangkau beberapa lokasi di Kota Yogyakarta, Sleman & Magelang",surrounding,positive
Sarapan bervariasi & enak,meal,positive
staf hotel juga ramah,staff,positive
Pelayanan petugas front office dan petugas area lain juga cukup ramah dan cepat.,staff,positive
hotel ini bisa jadi pilihan yang tepat.,quality,positive
makanan direstorannya tidak seenak kelihatannya kebanyakan kurang rasa,meal,positive
Dan staff yang incharge pada waktu itu kebanyaakan ngegosip bukannya clear up piring kotor kami mereka malah asik ngegosip,staff,negative
Kamar kami menghadap taman dan laut,location,positive
"Kamarnya nyaman, dengan ukuran bed kingsize",room,positive
"Hanya kurang penerangan kalau di malam hari,",facility,negative
Saya melihat handuknya terlihat maaf sangat dekil. Warnanya sudah tidak putih tapi terlihat sudah kotor kesannya,room,negative
kamarnya yang romantic,room,positive
layanannya cukup memuaskan juga perawatan spa dan kolam renangnya indah,facility,positive
Menu makanan memiliki banyak pilihan serta rasanya sangat enak,meal,positive
AKHIRNYA ORANG RECEPTIONNYA BARU NAIK KE ATAS DENGAN MUKA KETUS,staff,negative
Parkir menurut saya kurang memadai,facility,negative
They have a bad swimming pool,facility,negative
Tidak disediakan TV di dalam kamar,facility,negative
Lokasi jauh dr kota jogja,location,negative
check in sangat lama,service,negative
Kamar bau rokok,room,negative
pintu kamarnya rusak,room,negative
Pelayannya memuaskan,service,positive
hotelnya baik,value,positive
makanannya enak,meal,positive
"mudah dijangkau dari bandara dan akses untuk ke kampus-kampus besar di yogya seeprti UGM, UNY, UPN, sanatha Darma dll cukup dekat",location,positive
diskriminasi dalam pelayanan,service,negative
diperlakukan tidak baik,staff,negative
Lokasi dekat kampus,location,positive
Staf nya cukup ramah,staff,positive
Kamar bersih,room,positive
ada tempat fitnes dan kolam renang,facility,positive
rasa biasa aja. Kurang enak.,meal,negative
playground merupakan salah satu nilai plus,facility,positive
kamar standart,room,neutral
breakfast bervariasi namun rasa menurut saya standart,meal,neutral
kamar kurang luas,room,neutral
cek in penanganan sangat memuaskan dan dengan staff yg sangat ramah,service,positive
cek in penanganan sangat memuaskan dan dengan staff yg sangat ramah,room,positive
fitness kurang,facility,neutral
makanannya enak,meal,positive
"Lokasi dekat Malioboro, ",location,positive
connecting path dengan Malioboro Mall.,surrounding,positive
"penerangan lampu dikamar kurang maksimal,kamar mandi lampu nya ada yg mati.",room,negative
kamarnya terhitung biasa saja,room,neutral
Breakfast cukup enak,meal,positive
Proses check in yg cepat Dan mudah,service,positive
kebersiha kamr yg tidak di jaga,room,negative
Pelayanan oke dan simpatik,staff,positive
Depan stasiun dan dekat jalan malioboro,location,positive
Koneksi internet suka terputus,facility,negative
Pelayanan ramah,service,positive
makanan enak dan variatif,meal,positive
kebersihan ok,quality,positive
"Fasilitas cukup lengkap dan ada mini market, ATM, musholla",facility,positive
Kamar hotel sempit (kurang luas) dan view pemandangan tidak bagus (tembok),room,negative
lokasi strategis,location,positive
tidak jauh dari Malioboro dan Stasiun Tugu,location,positive
Makanan yang disajikan terbatas pilihannya,meal,neutral
"shower mandinya kotor, dan yang di wc rusak jetspraynya",room,negative
proses check in dan check outnya gak ribet,service,positive
suka masakannya,meal,positive
wifi cukup kencang,facility,positive
kamar dan kamar mandi bersih,room,positive
reakfast yang sedikit dan kurang ras,meal,negative
parkir bisa di depan room jadi akses lebih mudah,facility,positive
sangat dekat dengan objek wisata Candi Prambanan,surrounding,positive
Pelayanan Hotel kurang,service,negative
Wifi yang sangat tidak stabil,facility,negative
AC yang panas. Kamar mandi yang bau,room,negative
Staff ramah,staff,positive
Koneksi WiFi juga jelek,facility,negative
"di dekat kloset ada genangan air,",room,negative
"cukup strategis, dekat bandara",location,positive
"tidak ada sinyal internet, di mana Wifi juga tidak bisa connect",facility,negative
renang dan Gym yang alakadarnya,facility,neutral
breakfast yang sederhana,meal,neutral
Staffnya juga ramah,staff,positive
Yang paling juara adalah menu dan rasa makanan yang disediakan,meal,positive
Wifi lancar,facility,positive
"shower di kamar mandi tidak konsisten panas dan dinginnya, kadang panas kadang dingin",room,negative
hotel standar,value,neutral
"Kunci kamarnya harus ditap 3x, jd saya merasa agak repot apalagi kl lg buru2",room,negative
Akses dari bandara mudah,location,positive
petugas kebersihan di pagi hari mengurangi ketenangan,service,negative
Lokasi hotel yang strategis,location,positive
"Lokasi strategis, dekat dengan Ambarukmo Plaza",surrounding,positive
Pelayanannya ramah sekali,staff,positive
Yang istimewa adalah menu makanannya,meal,positive
Tapi staff di restoran tidak ramah,staff,negative
"Rugi reservasi dengan sarapan, karena rasa makanannya pun tidak enak",meal,negative
Wifi yang saya gunakan masih lambat menurut saya dan terbagi beberapa spot,facility,negative
"Menurut saya jika kalian mendambakan ketenangan dalam menginap, hotel ini merupakan pilihan yang tepat.",quality,positive
"Untuk kebersihan kamar sangat minus, selama kami stay disana kebersihan kamar terkesan asal saja",room,negative
Fasilitas Parkir untuk tamu hotel minus sekali. Tamu susah payah cari parkir karena hotel hanya menyediakan space parkir yg tdk proper.,facility,negative
Hotel ini cukup ok,value,positive
"dekat dengan stasiun Tugu, ",location,positive
dekat dengan Malioboro,surrounding,positive
Breakfastnya saja yang terlalu standart,meal,neutral
ada flek2 bekas orang,room,negative
ditingkatkan koneksi internet,facility,negative
ditingkatkan koneksi internet,location,positive
dekat dengan stasiun dan kawasan malioboro,location,positive
tarif relatif terjangkau,value,positive
not recommended,value,negative
Staff ramah,staff,positive
Kamar bersih,room,positive
Lokasi strategis,location,positive
Sebelah Lippo Mall,surrounding,positive
hotel budget,value,positive
tempat tidur nyaman,room,positive
Breakfest tidak banyak pariasi,meal,neutral
amar sangat nyaman dengan pool view,room,positive
"Sarapan sangat variatif, dan enak",meal,positive
Pelayanan housekeeping juga bagus,service,positive
dekat dengan Malioboro,surrounding,positive
"kamarnya bersih, terang",room,positive
"Kamar cukup besar, bersih",room,positive
Ada halte bus Jogjatrans di depan hotel.,location,positive
staf sangat membantu dengan respon yang cukup cepat,staff,positive
Kolam renang yang bagus,facility,positive
Kamarnya relatif bersih dan nyaman,room,positive
Letak nya cukup strategies,location,positive
"Closet nya kotor Dan sprei nya aga sedikit kotor, sarung bantalnya aga sedikit bau",room,negative
Respon dari pihak hotel cukup baik dan cepat atas complaint.,service,positive
strategis,location,positive
cukup cozy alias nyaman,quality,positive
check in dan check out agak lama,service,negative
breakfast yg mengecewakan,meal,negative
Pelayanan check in buruk,service,negative
"Wifinya cepat dan gak ribet,",facility,positive
"bed-nya enak, channel tv jelas tidak buram dan lengkap",room,positive
"bed-nya enak, channel tv jelas tidak buram dan lengkap",meal,neutral
staff yang sangat ramah dan membantu,staff,positive
kondisi bathub yang sudah banyak bocor,room,negative
"Kamar sangat kecil/sempit . Lantai kamar berdebu, kotor, dan Lantai Balkon yg ""sangat jorok""",room,negative
"Staff yg tidak ""terlati/tidak ada traning"", tidak tahu apa2, tidak mengerti kerja di HOTEL",staff,negative
"Breakfast ""sangat PAYAH""",meal,negative
"Sahid Rich ini bisa terbilang lokasinya jauh banget dari mana-mana. Mau ke Malioboro jauh, stasiun kereta Tugu&Lempuyangan juga.",location,negative
nyaman dan ramah,quality,positive
bersebelahan dengan jogja city mall,surrounding,positive
kebersihan kamarpun sangat perlu diperhatikan terdapat noda di sprei,room,negative
makananya entah kenapa agak kurang enak,meal,negative
"2 kolam renang, cukup menyenangkan",facility,positive
"pemandangan indah, gunung merapi terlihat",quality,positive
makanan standar,meal,neutral
Stafnya ramah ramah,room,positive
Checkin cepat,service,positive
cukup strategis,location,positive
makanan enak,meal,positive
di bawah kasur ada semut ,room,negative
Hrganya terjangkau,value,positive
Lokasi strategis,location,positive
"Reseptionis ramah, cantik dan seksi",staff,positive
kualitas rasa makanan sngat standar,meal,neutral
Proses check in yang cepat,service,positive
staff yang ramah memberikan kesan pertama yang baik,staff,positive
"aat memasuki kamarnya kami sedikit kecewa dengan kebersihan kamar yang sangat kurang.Masih ada beberapa rambut di meja telpon,spot di dinding yang sangat banyak sehingga terlihat sangat kotor, kamar mandi dan lantai kamar yang masih lengket.",room,negative
Letak strategis,location,positive
Hotel budget tapi keren kualitasnya,value,positive
kondisi ny kusam dan lembab Ac kamar bocor,room,negative
"kamar yang lembap, selimut dan kasur basah",room,negative
idak rekomendasi dengan hotel yang dipenuhi dengan semut.,value,negative
lokasi yang cukup strategis,location,positive
pelayanannya yang kurang ramah dan sigap,service,negative
"air panas dan air dingin berfungsi dengan baik, kamar mandi bersih.",room,positive
kamar berdebu dan banyak tungau nya,room,negative
"lantai kotor berdebu dan banyak rambut, lantai kamar mandi pun kurang bersih di bagian pojok2nya. AC bocor",room,negative
"Deket dari Tugu, Stasiun Tugu, Malioboro",location,positive
Kamar cukup minimalis tapi nyaman,room,positive
sarapan nya cukup bervariasi dan enak,meal,positive
"air di kamar mandi ketika di setel untuk hot, memang bisa panas, tp tiba2 dingin, dan tiba2 panas lagi. Mohon diperbaiki untuk showernya. Sarung bantal di kamar saya juga berbau agak apek",room,negative
"Lokasinya strategis di Jalan Magelang, akses transportasi mudah (taksi, bis kota, ojek)",location,positive
Kamarnya minimalis dan cukup nyaman. Kamar mandi juga bersih,room,positive
check in lama,service,negative
Parkiran luas,facility,positive
"Kamar tidur yg luas, kasur empuk dg bantal yg enak",room,positive
AC dikamarnya tdk nyala & kamar yg berbau lembab,room,negative
wifi yg cukup baik,facility,positive
"Parkiran luas, lobi luas",facility,positive
Kamar cukup luas dengan pemandangan gunung merapi,room,positive
dekat dengan pusat perbelanjaan,surrounding,positive
Kamar cukup luas dan lengkap,room,positive
di sambut dengan welcome drink,service,positive
terdapat kerusakan pada kunci kamar,room,negative
di sebelah Jogja City Mall,surrounding,positive
erdapat 2 kolam renang utk umum di lantai 1 dan utk guest di lantai 9 sebelah resto,facility,positive
Resto cukup variatif,meal,positive
"Kualitas Kamar menurun, banyak wallpaper yg sudah sobek, kamar mandi kotor, di kamar lain bahkan mampet toiletnya dan bau.",room,negative
Kamar pada prinsipnya cukup luas dengan AC dan air panas dengan shower yang memadai dan disediakan sajadah dengan perlengkapannya seperti sarung dan mukena citra rasa makanan cukup enak,room,positive
kolam renangnya kotor sekali,facility,negative
kamar mandi semilir bau selokan..teko pemanas air sudah patah tutupnya,room,negative
ada kolam renang yang nyaman,facility,positive
di lokasi stretegis sehingga sangat mudah dijangkau,location,positive
staf nya cepat dan ramah,staff,positive
sarapannya enak,meal,positive
sandaran shower2 yg rusak & kamar yg kotor.. AC yg berisik,room,negative
Lokasi hotel cukup strategis,location,positive
seperti budget hotel biasa,value,negative
Staff ramah,staff,positive
Parkir di basement disambut bau yang tidak enak,facility,negative
Poorrr wifi,facility,negative
service good.,service,positive
Kenyamanan jg ok. Kebersihan jg okKenyamanan jg ok. Kebersihan jg ok,quality,positive
staffnya ramah dan sangat terasa kekeluargaannya,staff,positive
fast response dgn keluhan costumer,service,positive
kamarnya besar dan bersih,room,positive
recomended buat kalian yang mau cari homestay di yogya,value,positive
mudah dicapai dari bandara dengan Trans Yogya,location,positive
Ratenya paling terjangkau,value,positive
Kamarnya nyaman,room,positive
"dekat dengan Tugu Yogya dan Stasiun tugu, Malioboro, Pasar Kembang",surrounding,positive
melayani dengan cepat dan penuh senyuman,staff,positive
Staf yang sangat kaku dan tidak ramah,staff,negative
rasanya sangat asin sekali,meal,negative
kebersihanya kurang jorok banyak sisa kondom yang gak di bersihkan selimutnya kotor n bau lantai kotor ,room,negative
kamar saya tidak dibersihkan Stay 3 hari 2 malam,room,negative
Kamar mandi kurang bersih dan bantal dikamar saya sudah agak kempes dan handuk juga kurang bersih,room,negative
Saat masuk kamar ac sudah menyala namun kamar berbau lembab tidak wangi..tidak tersedia sendal kamar dan handuk hanya 1,room,negative
Di awal mau c/i receptionist yg mungkin udah senior pelayanannya sungguh buruk,staff,negative
Hotel bagus tp pelayanan buruk sangat disayangkan,service,negative
"kamarnya nyaman, bersih, kasur empuk dan air panas yang stabil.",room,positive
Ada mini market 24 jam disekitar hotel yg memudahkan tamu utk berbelanja keperluan harian slama bepergian,surrounding,positive
Kesan pertama saat memasuki hotel disambut oleh bell boy dan front office yang ramah,staff,positive
channel televisi sangat sedikit dan kurang jelas gambarnya,facility,negative
Lokasi yang berada di kawasan pusat perbelanjaan malioboro merupakan poin penting yang sangat saya sukai,surrounding,positive
"breakfast: ayam di bubur ayam kurang fresh, omelet tdk dihidangkan,hrs request dulu ke pelayan",meal,negative
tidak yakin akan menginap disana lagi,quality,negative
pegawai yang ramah dan menyenangkan.,staff,positive
pas ke sana dapat yg kamarnya bocor. karpet basah. karpet jg berdebu. toilet ada kerak2nya. kamar sempit ternyata,room,negative
"Disekitar hotel banyak sekali tempat makanan, mulai dari makanan modern sampai tradisional",surrounding,positive
Dekat hotel juga terdapat minimart,surrounding,positive
Hotel ini menawarkan afternoon tea dan juga paket sarapan pagi cukup enak dengan pilihan yang cukup,meal,positive
saya kecewa dengan pelayanan mereka terutama ketika check-in karena saya harus menunggu cukup lama,service,negative
